image,rank,similar_image,similarity
data_cat\6\Snipaste_2026-06-03_18-03-09.png,8,data_cat\9\Snipaste_2026-06-05_15-19-37.png,0.9055
data_cat\6\Snipaste_2026-06-03_18-03-09.png,9,data_cat\8\Snipaste_2026-06-05_15-16-40.png,0.9013
data_cat\6\Snipaste_2026-06-03_18-03-09.png,10,data_cat\9\Snipaste_2026-06-05_15-20-07.png,0.8984
data_cat\7\Snipaste_2026-06-05_15-14-19.png,1,data_cat\7\Snipaste_2026-06-05_15-14-41.png,0.9804
data_cat\7\Snipaste_2026-06-05_15-14-19.png,2,data_cat\9\Snipaste_2026-06-05_15-20-53.png,0.9235
data_cat\7\Snipaste_2026-06-05_15-14-19.png,3,data_cat\9\Snipaste_2026-06-05_15-20-07.png,0.9226
data_cat\7\Snipaste_2026-06-05_15-14-19.png,4,data_cat\8\Snipaste_2026-06-05_15-17-20.png,0.9097
data_cat\7\Snipaste_2026-06-05_15-14-19.png,5,data_cat\1\Snipaste_2026-06-03_17-54-27.png,0.9074
data_cat\7\Snipaste_2026-06-05_15-14-19.png,6,data_cat\1\Snipaste_2026-06-03_17-52-12.png,0.9058
data_cat\7\Snipaste_2026-06-05_15-14-19.png,7,data_cat\8\Snipaste_2026-06-05_15-16-46.png,0.9024
data_cat\7\Snipaste_2026-06-05_15-14-19.png,8,data_cat\1\Snipaste_2026-06-03_17-52-55.png,0.9022
data_cat\7\Snipaste_2026-06-05_15-14-19.png,9,data_cat\2\2-10.png,0.8962
data_cat\7\Snipaste_2026-06-05_15-14-19.png,10,data_cat\1\Snipaste_2026-06-03_17-52-48.png,0.8959
data_cat\7\Snipaste_2026-06-05_15-14-41.png,1,data_cat\7\Snipaste_2026-06-05_15-14-54.png,0.9734
data_cat\7\Snipaste_2026-06-05_15-14-41.png,2,data_cat\1\Snipaste_2026-06-03_17-54-27.png,0.9313
data_cat\7\Snipaste_2026-06-05_15-14-41.png,3,data_cat\1\Snipaste_2026-06-03_17-52-55.png,0.9167
data_cat\7\Snipaste_2026-06-05_15-14-41.png,4,data_cat\1\Snipaste_2026-06-03_17-52-12.png,0.9125
data_cat\7\Snipaste_2026-06-05_15-14-41.png,5,data_cat\1\Snipaste_2026-06-03_17-54-38.png,0.9097
data_cat\7\Snipaste_2026-06-05_15-14-41.png,6,data_cat\1\Snipaste_2026-06-03_17-56-40.png,0.9084
data_cat\7\Snipaste_2026-06-05_15-14-41.png,7,data_cat\8\Snipaste_2026-06-05_15-17-20.png,0.9034
data_cat\7\Snipaste_2026-06-05_15-14-41.png,8,data_cat\2\2-2.png,0.9020
data_cat\7\Snipaste_2026-06-05_15-14-41.png,9,data_cat\8\Snipaste_2026-06-05_15-16-46.png,0.9018
data_cat\7\Snipaste_2026-06-05_15-14-41.png,10,data_cat\9\Snipaste_2026-06-05_15-20-07.png,0.9006
data_cat\7\Snipaste_2026-06-05_15-14-54.png,1,data_cat\7\Snipaste_2026-06-05_15-14-41.png,0.9734
data_cat\7\Snipaste_2026-06-05_15-14-54.png,2,data_cat\9\Snipaste_2026-06-05_15-20-07.png,0.9256
data_cat\7\Snipaste_2026-06-05_15-14-54.png,3,data_cat\9\Snipaste_2026-06-05_15-20-53.png,0.9207
data_cat\7\Snipaste_2026-06-05_15-14-54.png,4,data_cat\8\Snipaste_2026-06-05_15-17-20.png,0.9117
data_cat\7\Snipaste_2026-06-05_15-14-54.png,5,data_cat\1\Snipaste_2026-06-03_17-54-27.png,0.9112
data_cat\7\Snipaste_2026-06-05_15-14-54.png,6,data_cat\1\Snipaste_2026-06-03_17-52-12.png,0.9064
data_cat\7\Snipaste_2026-06-05_15-14-54.png,7,data_cat\8\Snipaste_2026-06-05_15-16-46.png,0.9018
data_cat\7\Snipaste_2026-06-05_15-14-54.png,8,data_cat\1\Snipaste_2026-06-03_17-52-55.png,0.8977
data_cat\7\Snipaste_2026-06-05_15-14-54.png,9,data_cat\6\Snipaste_2026-06-03_18-03-09.png,0.8935
data_cat\7\Snipaste_2026-06-05_15-14-54.png,10,data_cat\1\Snipaste_2026-06-03_17-54-38.png,0.8892
data_cat\8\Snipaste_2026-06-05_15-16-17.png,1,data_cat\8\Snipaste_2026-06-05_15-17-20.png,0.9547
data_cat\8\Snipaste_2026-06-05_15-16-17.png,2,data_cat\9\Snipaste_2026-06-05_15-20-12.png,0.9406
data_cat\8\Snipaste_2026-06-05_15-16-17.png,3,data_cat\1\Snipaste_2026-06-03_17-55-02.png,0.9348
data_cat\8\Snipaste_2026-06-05_15-16-17.png,4,data_cat\1\Snipaste_2026-06-03_17-54-38.png,0.9344
data_cat\8\Snipaste_2026-06-05_15-16-17.png,5,data_cat\1\Snipaste_2026-06-03_17-52-12.png,0.9311
data_cat\8\Snipaste_2026-06-05_15-16-17.png,6,data_cat\9\Snipaste_2026-06-05_15-19-31.png,0.9305
data_cat\8\Snipaste_2026-06-05_15-16-17.png,7,data_cat\1\Snipaste_2026-06-03_17-57-43.png,0.9296
data_cat\8\Snipaste_2026-06-05_15-16-17.png,8,data_cat\1\Snipaste_2026-06-03_17-57-29.png,0.9283
data_cat\8\Snipaste_2026-06-05_15-16-17.png,9,data_cat\8\Snipaste_2026-06-05_15-17-06.png,0.9282
data_cat\8\Snipaste_2026-06-05_15-16-17.png,10,data_cat\8\Snipaste_2026-06-05_15-16-40.png,0.9276
data_cat\8\Snipaste_2026-06-05_15-16-40.png,1,data_cat\8\Snipaste_2026-06-05_15-16-55.png,0.9698
data_cat\8\Snipaste_2026-06-05_15-16-40.png,2,data_cat\8\Snipaste_2026-06-05_15-17-15.png,0.9654
data_cat\8\Snipaste_2026-06-05_15-16-40.png,3,data_cat\5\5-9.png,0.9615
data_cat\8\Snipaste_2026-06-05_15-16-40.png,4,data_cat\5\5-6.png,0.9607
data_cat\8\Snipaste_2026-06-05_15-16-40.png,5,data_cat\5\5-1.png,0.9581
data_cat\8\Snipaste_2026-06-05_15-16-40.png,6,data_cat\8\Snipaste_2026-06-05_15-16-46.png,0.9579
data_cat\8\Snipaste_2026-06-05_15-16-40.png,7,data_cat\1\Snipaste_2026-06-03_17-53-03.png,0.9542
data_cat\8\Snipaste_2026-06-05_15-16-40.png,8,data_cat\2\2-3.png,0.9532
data_cat\8\Snipaste_2026-06-05_15-16-40.png,9,data_cat\9\Snipaste_2026-06-05_15-19-43.png,0.9516
data_cat\8\Snipaste_2026-06-05_15-16-40.png,10,data_cat\1\Snipaste_2026-06-03_17-54-38.png,0.9514
data_cat\8\Snipaste_2026-06-05_15-16-46.png,1,data_cat\8\Snipaste_2026-06-05_15-16-40.png,0.9579
data_cat\8\Snipaste_2026-06-05_15-16-46.png,2,data_cat\8\Snipaste_2026-06-05_15-17-20.png,0.9537
data_cat\8\Snipaste_2026-06-05_15-16-46.png,3,data_cat\9\Snipaste_2026-06-05_15-20-12.png,0.9520
data_cat\8\Snipaste_2026-06-05_15-16-46.png,4,data_cat\1\Snipaste_2026-06-03_17-54-38.png,0.9398
data_cat\8\Snipaste_2026-06-05_15-16-46.png,5,data_cat\8\Snipaste_2026-06-05_15-17-06.png,0.9382
data_cat\8\Snipaste_2026-06-05_15-16-46.png,6,data_cat\1\Snipaste_2026-06-03_17-52-12.png,0.9373
data_cat\8\Snipaste_2026-06-05_15-16-46.png,7,data_cat\1\Snipaste_2026-06-03_17-53-03.png,0.9343
data_cat\8\Snipaste_2026-06-05_15-16-46.png,8,data_cat\8\Snipaste_2026-06-05_15-16-55.png,0.9339
data_cat\8\Snipaste_2026-06-05_15-16-46.png,9,data_cat\9\Snipaste_2026-06-05_15-19-43.png,0.9327
data_cat\8\Snipaste_2026-06-05_15-16-46.png,10,data_cat\1\Snipaste_2026-06-03_17-56-40.png,0.9324
data_cat\8\Snipaste_2026-06-05_15-16-55.png,1,data_cat\8\Snipaste_2026-06-05_15-16-40.png,0.9698
data_cat\8\Snipaste_2026-06-05_15-16-55.png,2,data_cat\1\Snipaste_2026-06-03_17-53-03.png,0.9510
data_cat\8\Snipaste_2026-06-05_15-16-55.png,3,data_cat\9\Snipaste_2026-06-05_15-19-43.png,0.9504
data_cat\8\Snipaste_2026-06-05_15-16-55.png,4,data_cat\5\5-1.png,0.9502
data_cat\8\Snipaste_2026-06-05_15-16-55.png,5,data_cat\5\5-6.png,0.9481
data_cat\8\Snipaste_2026-06-05_15-16-55.png,6,data_cat\5\5-9.png,0.9471
data_cat\8\Snipaste_2026-06-05_15-16-55.png,7,data_cat\8\Snipaste_2026-06-05_15-17-15.png,0.9450
data_cat\8\Snipaste_2026-06-05_15-16-55.png,8,data_cat\2\2-3.png,0.9368
data_cat\8\Snipaste_2026-06-05_15-16-55.png,9,data_cat\1\Snipaste_2026-06-03_17-52-12.png,0.9343
data_cat\8\Snipaste_2026-06-05_15-16-55.png,10,data_cat\1\Snipaste_2026-06-03_17-54-38.png,0.9340
data_cat\8\Snipaste_2026-06-05_15-17-06.png,1,data_cat\8\Snipaste_2026-06-05_15-16-40.png,0.9760
data_cat\8\Snipaste_2026-06-05_15-17-06.png,2,data_cat\1\Snipaste_2026-06-03_17-53-03.png,0.9536
data_cat\8\Snipaste_2026-06-05_15-17-06.png,3,data_cat\8\Snipaste_2026-06-05_15-17-15.png,0.9531
data_cat\8\Snipaste_2026-06-05_15-17-06.png,4,data_cat\5\5-1.png,0.9530
data_cat\8\Snipaste_2026-06-05_15-17-06.png,5,data_cat\9\Snipaste_2026-06-05_15-19-43.png,0.9521
data_cat\8\Snipaste_2026-06-05_15-17-06.png,6,data_cat\5\5-6.png,0.9516
data_cat\8\Snipaste_2026-06-05_15-17-06.png,7,data_cat\5\5-9.png,0.9513
data_cat\8\Snipaste_2026-06-05_15-17-06.png,8,data_cat\1\Snipaste_2026-06-03_17-54-38.png,0.9384
data_cat\8\Snipaste_2026-06-05_15-17-06.png,9,data_cat\8\Snipaste_2026-06-05_15-16-46.png,0.9382
data_cat\8\Snipaste_2026-06-05_15-17-06.png,10,data_cat\2\2-3.png,0.9370
data_cat\8\Snipaste_2026-06-05_15-17-15.png,1,data_cat\8\Snipaste_2026-06-05_15-17-20.png,0.9672
data_cat\8\Snipaste_2026-06-05_15-17-15.png,2,data_cat\8\Snipaste_2026-06-05_15-16-17.png,0.9666
data_cat\8\Snipaste_2026-06-05_15-17-15.png,3,data_cat\8\Snipaste_2026-06-05_15-16-40.png,0.9654
data_cat\8\Snipaste_2026-06-05_15-17-15.png,4,data_cat\9\Snipaste_2026-06-05_15-20-12.png,0.9594
data_cat\8\Snipaste_2026-06-05_15-17-15.png,5,data_cat\8\Snipaste_2026-06-05_15-17-06.png,0.9531
data_cat\8\Snipaste_2026-06-05_15-17-15.png,6,data_cat\8\Snipaste_2026-06-05_15-16-55.png,0.9450
data_cat\8\Snipaste_2026-06-05_15-17-15.png,7,data_cat\1\Snipaste_2026-06-03_17-54-38.png,0.9383
data_cat\8\Snipaste_2026-06-05_15-17-15.png,8,data_cat\1\Snipaste_2026-06-03_17-53-03.png,0.9370
data_cat\8\Snipaste_2026-06-05_15-17-15.png,9,data_cat\1\Snipaste_2026-06-03_17-52-12.png,0.9327
data_cat\8\Snipaste_2026-06-05_15-17-15.png,10,data_cat\9\Snipaste_2026-06-05_15-19-43.png,0.9307
data_cat\8\Snipaste_2026-06-05_15-17-20.png,1,data_cat\8\Snipaste_2026-06-05_15-16-17.png,0.9547
data_cat\8\Snipaste_2026-06-05_15-17-20.png,2,data_cat\9\Snipaste_2026-06-05_15-20-12.png,0.9539
data_cat\8\Snipaste_2026-06-05_15-17-20.png,3,data_cat\8\Snipaste_2026-06-05_15-16-46.png,0.9537
data_cat\8\Snipaste_2026-06-05_15-17-20.png,4,data_cat\8\Snipaste_2026-06-05_15-16-40.png,0.9455
data_cat\8\Snipaste_2026-06-05_15-17-20.png,5,data_cat\9\Snipaste_2026-06-05_15-20-07.png,0.9375
data_cat\8\Snipaste_2026-06-05_15-17-20.png,6,data_cat\1\Snipaste_2026-06-03_17-54-38.png,0.9374
data_cat\8\Snipaste_2026-06-05_15-17-20.png,7,data_cat\1\Snipaste_2026-06-03_17-52-12.png,0.9352
data_cat\8\Snipaste_2026-06-05_15-17-20.png,8,data_cat\3\3-3.png,0.9325
data_cat\8\Snipaste_2026-06-05_15-17-20.png,9,data_cat\9\Snipaste_2026-06-05_15-19-37.png,0.9313
data_cat\8\Snipaste_2026-06-05_15-17-20.png,10,data_cat\9\Snipaste_2026-06-05_15-20-53.png,0.9277
data_cat\9\Snipaste_2026-06-05_15-19-14.png,1,data_cat\9\Snipaste_2026-06-05_15-20-12.png,0.8907
data_cat\9\Snipaste_2026-06-05_15-19-14.png,2,data_cat\9\Snipaste_2026-06-05_15-19-31.png,0.8900
data_cat\9\Snipaste_2026-06-05_15-19-14.png,3,data_cat\8\Snipaste_2026-06-05_15-16-46.png,0.8874
data_cat\9\Snipaste_2026-06-05_15-19-14.png,4,data_cat\9\Snipaste_2026-06-05_15-20-53.png,0.8820
data_cat\9\Snipaste_2026-06-05_15-19-14.png,5,data_cat\8\Snipaste_2026-06-05_15-17-15.png,0.8807
data_cat\9\Snipaste_2026-06-05_15-19-14.png,6,data_cat\9\Snipaste_2026-06-05_15-19-37.png,0.8778
data_cat\9\Snipaste_2026-06-05_15-19-14.png,7,data_cat\3\3-3.png,0.8729
data_cat\9\Snipaste_2026-06-05_15-19-14.png,8,data_cat\9\Snipaste_2026-06-05_15-20-07.png,0.8724
data_cat\9\Snipaste_2026-06-05_15-19-14.png,9,data_cat\8\Snipaste_2026-06-05_15-17-20.png,0.8691
data_cat\9\Snipaste_2026-06-05_15-19-14.png,10,data_cat\5\5-10.png,0.8606
data_cat\9\Snipaste_2026-06-05_15-19-31.png,1,data_cat\9\Snipaste_2026-06-05_15-19-43.png,0.9383
data_cat\9\Snipaste_2026-06-05_15-19-31.png,2,data_cat\8\Snipaste_2026-06-05_15-16-17.png,0.9305
data_cat\9\Snipaste_2026-06-05_15-19-31.png,3,data_cat\3\3-3.png,0.9290
data_cat\9\Snipaste_2026-06-05_15-19-31.png,4,data_cat\8\Snipaste_2026-06-05_15-17-15.png,0.9262
data_cat\9\Snipaste_2026-06-05_15-19-31.png,5,data_cat\9\Snipaste_2026-06-05_15-20-12.png,0.9198
data_cat\9\Snipaste_2026-06-05_15-19-31.png,6,data_cat\8\Snipaste_2026-06-05_15-16-55.png,0.9173
data_cat\9\Snipaste_2026-06-05_15-19-31.png,7,data_cat\8\Snipaste_2026-06-05_15-17-06.png,0.9152
data_cat\9\Snipaste_2026-06-05_15-19-31.png,8,data_cat\8\Snipaste_2026-06-05_15-17-20.png,0.9148
data_cat\9\Snipaste_2026-06-05_15-19-31.png,9,data_cat\1\Snipaste_2026-06-03_17-53-03.png,0.9107
data_cat\9\Snipaste_2026-06-05_15-19-31.png,10,data_cat\1\Snipaste_2026-06-03_17-52-12.png,0.9101
data_cat\9\Snipaste_2026-06-05_15-19-37.png,1,data_cat\9\Snipaste_2026-06-05_15-19-43.png,0.9558
data_cat\9\Snipaste_2026-06-05_15-19-37.png,2,data_cat\3\3-3.png,0.9543
data_cat\9\Snipaste_2026-06-05_15-19-37.png,3,data_cat\8\Snipaste_2026-06-05_15-17-20.png,0.9313
data_cat\9\Snipaste_2026-06-05_15-19-37.png,4,data_cat\6\Snipaste_2026-06-03_18-01-03.png,0.9266
data_cat\9\Snipaste_2026-06-05_15-19-37.png,5,data_cat\8\Snipaste_2026-06-05_15-16-17.png,0.9234
data_cat\9\Snipaste_2026-06-05_15-19-37.png,6,data_cat\1\Snipaste_2026-06-03_17-52-12.png,0.9204
data_cat\9\Snipaste_2026-06-05_15-19-37.png,7,data_cat\8\Snipaste_2026-06-05_15-17-15.png,0.9188
data_cat\9\Snipaste_2026-06-05_15-19-37.png,8,data_cat\3\3-4.png,0.9167
data_cat\9\Snipaste_2026-06-05_15-19-37.png,9,data_cat\9\Snipaste_2026-06-05_15-20-12.png,0.9165
data_cat\9\Snipaste_2026-06-05_15-19-37.png,10,data_cat\1\Snipaste_2026-06-03_17-53-03.png,0.9151
data_cat\9\Snipaste_2026-06-05_15-19-43.png,1,data_cat\5\5-6.png,0.9528
data_cat\9\Snipaste_2026-06-05_15-19-43.png,2,data_cat\8\Snipaste_2026-06-05_15-17-06.png,0.9521
data_cat\9\Snipaste_2026-06-05_15-19-43.png,3,data_cat\8\Snipaste_2026-06-05_15-16-40.png,0.9516
data_cat\9\Snipaste_2026-06-05_15-19-43.png,4,data_cat\8\Snipaste_2026-06-05_15-16-55.png,0.9504
data_cat\9\Snipaste_2026-06-05_15-19-43.png,5,data_cat\1\Snipaste_2026-06-03_17-53-03.png,0.9457
data_cat\9\Snipaste_2026-06-05_15-19-43.png,6,data_cat\3\3-3.png,0.9449
data_cat\9\Snipaste_2026-06-05_15-19-43.png,7,data_cat\5\5-9.png,0.9427
data_cat\9\Snipaste_2026-06-05_15-19-43.png,8,data_cat\2\2-3.png,0.9417
data_cat\9\Snipaste_2026-06-05_15-19-43.png,9,data_cat\1\Snipaste_2026-06-03_17-57-35.png,0.9389
data_cat\9\Snipaste_2026-06-05_15-19-43.png,10,data_cat\9\Snipaste_2026-06-05_15-19-31.png,0.9383
data_cat\9\Snipaste_2026-06-05_15-20-07.png,1,data_cat\8\Snipaste_2026-06-05_15-17-20.png,0.9375
data_cat\9\Snipaste_2026-06-05_15-20-07.png,2,data_cat\7\Snipaste_2026-06-05_15-14-54.png,0.9256
data_cat\9\Snipaste_2026-06-05_15-20-07.png,3,data_cat\2\2-10.png,0.9249
data_cat\9\Snipaste_2026-06-05_15-20-07.png,4,data_cat\7\Snipaste_2026-06-05_15-14-19.png,0.9226
data_cat\9\Snipaste_2026-06-05_15-20-07.png,5,data_cat\8\Snipaste_2026-06-05_15-16-46.png,0.9200
data_cat\9\Snipaste_2026-06-05_15-20-07.png,6,data_cat\2\2-9.png,0.9192
data_cat\9\Snipaste_2026-06-05_15-20-07.png,7,data_cat\5\5-10.png,0.9122
data_cat\9\Snipaste_2026-06-05_15-20-07.png,8,data_cat\8\Snipaste_2026-06-05_15-17-15.png,0.9109
data_cat\9\Snipaste_2026-06-05_15-20-07.png,9,data_cat\5\5-3.png,0.9087
data_cat\9\Snipaste_2026-06-05_15-20-07.png,10,data_cat\2\2-2.png,0.9073
data_cat\9\Snipaste_2026-06-05_15-20-12.png,1,data_cat\8\Snipaste_2026-06-05_15-17-20.png,0.9539
data_cat\9\Snipaste_2026-06-05_15-20-12.png,2,data_cat\8\Snipaste_2026-06-05_15-16-46.png,0.9520
data_cat\9\Snipaste_2026-06-05_15-20-12.png,3,data_cat\8\Snipaste_2026-06-05_15-16-17.png,0.9406
data_cat\9\Snipaste_2026-06-05_15-20-12.png,4,data_cat\1\Snipaste_2026-06-03_17-53-03.png,0.9319
data_cat\9\Snipaste_2026-06-05_15-20-12.png,5,data_cat\8\Snipaste_2026-06-05_15-16-40.png,0.9318
data_cat\9\Snipaste_2026-06-05_15-20-12.png,6,data_cat\1\Snipaste_2026-06-03_17-54-38.png,0.9309
data_cat\9\Snipaste_2026-06-05_15-20-12.png,7,data_cat\1\Snipaste_2026-06-03_17-52-12.png,0.9261
data_cat\9\Snipaste_2026-06-05_15-20-12.png,8,data_cat\8\Snipaste_2026-06-05_15-17-06.png,0.9251
data_cat\9\Snipaste_2026-06-05_15-20-12.png,9,data_cat\9\Snipaste_2026-06-05_15-19-31.png,0.9198
data_cat\9\Snipaste_2026-06-05_15-20-12.png,10,data_cat\8\Snipaste_2026-06-05_15-16-55.png,0.9190
data_cat\9\Snipaste_2026-06-05_15-20-53.png,1,data_cat\8\Snipaste_2026-06-05_15-17-20.png,0.9277
data_cat\9\Snipaste_2026-06-05_15-20-53.png,2,data_cat\2\2-10.png,0.9245
data_cat\9\Snipaste_2026-06-05_15-20-53.png,3,data_cat\7\Snipaste_2026-06-05_15-14-19.png,0.9235
data_cat\9\Snipaste_2026-06-05_15-20-53.png,4,data_cat\1\Snipaste_2026-06-03_17-52-48.png,0.9211
data_cat\9\Snipaste_2026-06-05_15-20-53.png,5,data_cat\7\Snipaste_2026-06-05_15-14-54.png,0.9207
data_cat\9\Snipaste_2026-06-05_15-20-53.png,6,data_cat\2\2-9.png,0.9145
data_cat\9\Snipaste_2026-06-05_15-20-53.png,7,data_cat\5\5-7.png,0.9094
data_cat\9\Snipaste_2026-06-05_15-20-53.png,8,data_cat\1\Snipaste_2026-06-03_17-52-55.png,0.9090
data_cat\9\Snipaste_2026-06-05_15-20-53.png,9,data_cat\2\2-2.png,0.9010
data_cat\9\Snipaste_2026-06-05_15-20-53.png,10,data_cat\5\5-10.png,0.9001
